RoundNum,HalftimeHome,HalftimeAway,FulltimeHome,FulltimeAway,Winner
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
8,1,1,1,1,-1
32,0,3,0,4,50
21,0,1,1,2,50
4,0,2,0,5,50
29,0,0,1,1,-1
13,3,1,4,1,40
13,3,1,4,1,40
2,0,1,1,3,50
18,1,2,1,2,50
25,1,1,2,2,-1
20,0,2,0,3,50
37,0,1,0,3,50
