Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Manchester City,29,22,4,3,68,18,+50,70,67.0,21.2,+45.8,+1.58,W L W W D,52681,Riyad Mahrez Raheem Sterling - 10,Ederson,
2,Liverpool,29,21,6,2,75,20,+55,69,72.0,27.6,+44.4,+1.53,W W W W W,53459,Mohamed Salah - 20,Alisson,
3,Chelsea,28,17,8,3,57,19,+38,59,46.7,24.8,+21.9,+0.78,W W W W W,37932,Mason Mount - 8,Edouard Mendy,
4,Arsenal,28,17,3,8,44,31,+13,54,43.0,34.2,+8.8,+0.32,W W W L W,59533,Emile Smith Rowe Bukayo Saka - 9,Aaron Ramsdale,
5,Tottenham,29,16,3,10,47,36,+11,51,48.5,32.7,+15.8,+0.55,W W L W W,55319,Son Heung-min - 13,Hugo Lloris,
6,Manchester Utd,29,14,8,7,48,40,+8,50,44.8,41.3,+3.6,+0.12,W W D L W,73066,Cristiano Ronaldo - 12,David de Gea,
7,West Ham,30,14,6,10,49,39,+10,48,40.6,38.6,+2.0,+0.07,D W L W L,57945,Jarrod Bowen Michail Antonio - 8,Łukasz Fabiański,
8,Wolves,30,14,4,12,31,26,+5,46,28.7,42.7,-14.0,-0.47,L L W W L,30619,Raúl Jiménez - 6,José Sá,
9,Aston Villa,29,11,3,15,41,40,+1,36,32.6,36.6,-4.0,-0.14,W W W L L,41869,Ollie Watkins - 7,Emiliano Martínez,
10,Leicester City,27,10,6,11,42,46,-4,36,37.8,46.4,-8.6,-0.32,L W W L W,32228,Jamie Vardy - 10,Kasper Schmeichel,
11,Southampton,29,8,11,10,36,45,-9,35,39.3,41.4,-2.0,-0.07,W W L L L,29784,Che Adams - 7,Alex McCarthy,
12,Crystal Palace,29,7,13,9,39,38,+1,34,34.9,34.4,+0.5,+0.02,L W D W D,24440,Wilfried Zaha - 9,Vicente Guaita,
13,Brighton,29,7,12,10,26,36,-10,33,31.0,37.4,-6.5,-0.22,L L L L L,30814,Neal Maupay - 8,Robert Sánchez,
14,Newcastle Utd,29,7,10,12,32,49,-17,31,28.8,42.6,-13.8,-0.47,W W W L L,51249,Callum Wilson - 6,Martin Dúbravka,
15,Brentford,30,8,6,16,33,47,-14,30,35.4,39.4,-4.0,-0.13,L L W W L,16889,Ivan Toney - 11,David Raya,
16,Leeds United,30,7,8,15,34,67,-33,29,39.3,55.1,-15.7,-0.52,L L L W W,36288,Raphael Dias Belloli - 9,Illan Meslier,
17,Everton,27,7,4,16,29,47,-18,25,29.6,39.4,-9.8,-0.36,L L L L W,38204,Demarai Gray - 5,Jordan Pickford,
18,Watford,29,6,4,19,29,55,-26,22,30.9,49.6,-18.7,-0.65,L D L L W,20573,Emmanuel Dennis - 9,Ben Foster,
19,Burnley,27,3,12,12,22,38,-16,21,24.1,39.2,-15.1,-0.56,W D L L L,18948,Maxwel Cornet - 6,Nick Pope,
20,Norwich City,29,4,5,20,18,63,-45,17,24.8,55.5,-30.8,-1.06,L L L L L,26878,Teemu Pukki - 8,Tim Krul,